common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Black-throated Thrush,225,12,458,362,667,0.6215469613259669,Medium,Winter,Spring,225,76,0.3377777777777778,False,Winter,冬候鸟
Scaly-sided Merganser,26,6,50,43,90,0.6046511627906976,Medium,Winter,Spring,26,13,0.5,False,Winter,冬候鸟
Meadow Pipit,41,8,69,68,111,0.6029411764705882,Medium,Winter,Spring,41,26,0.6341463414634146,False,Winter,冬候鸟
Long-tailed Duck,48,6,110,80,223,0.6,Medium,Winter,Autumn,48,27,0.5625,False,Winter,冬候鸟
Bohemian/Japanese Waxwing,15,4,22,25,32,0.6,Medium,Winter,Spring,15,5,0.3333333333333333,False,Winter,冬候鸟
Long-tailed Tit,166,7,546,277,951,0.5992779783393501,Medium,Winter,Autumn,166,81,0.4879518072289157,False,Winter,冬候鸟
White-winged Redstart,102,11,248,176,402,0.5795454545454546,Medium,Winter,Autumn,102,69,0.6764705882352942,False,Winter,冬候鸟
Plumbeous Redstart,272,12,645,473,1006,0.5750528541226215,Medium,Winter,Spring,272,77,0.28308823529411764,False,Winter,冬候鸟
Bohemian Waxwing,276,12,693,485,1093,0.5690721649484536,Medium,Winter,Spring,276,147,0.532608695652174,False,Winter,冬候鸟
Eurasian Wren,577,12,1981,1031,3182,0.5596508244422891,Medium,Winter,Autumn,577,219,0.37954939341421146,False,Winter,冬候鸟
Buteo sp.,10,4,14,18,24,0.5555555555555556,Medium,Winter,Autumn,10,7,0.7,False,Winter,冬候鸟
Alpine Accentor,86,10,152,158,303,0.5443037974683544,Medium,Winter,Autumn,86,58,0.6744186046511628,False,Winter,冬候鸟
Goldcrest,282,12,649,523,1239,0.5391969407265774,Medium,Winter,Autumn,282,136,0.48226950354609927,False,Winter,冬候鸟
Japanese Waxwing,285,12,697,538,1237,0.5297397769516728,Medium,Winter,Spring,285,164,0.5754385964912281,False,Winter,冬候鸟
Smew,502,12,1601,951,3280,0.5278654048370137,Medium,Winter,Spring,502,292,0.5816733067729084,False,Winter,冬候鸟
Dalmatian Pelican,32,2,162,61,269,0.5245901639344263,Medium,Winter,Spring,32,28,0.875,True,Winter + Spring,冬候鸟 + 春候鸟
Red-throated Thrush,512,12,1726,987,2961,0.5187436676798379,Medium,Winter,Spring,512,255,0.498046875,False,Winter,冬候鸟
Common Merganser,659,12,3083,1271,5734,0.5184893784421715,Medium,Winter,Spring,659,365,0.5538694992412747,False,Winter,冬候鸟
Pied Kingfisher,15,3,22,29,39,0.5172413793103449,Medium,Winter,Summer,15,10,0.6666666666666666,False,Winter,冬候鸟
Siberian Accentor,474,12,1384,924,2606,0.512987012987013,Medium,Winter,Autumn,474,255,0.5379746835443038,False,Winter,冬候鸟
