date,year,month,day,season,temperature,extreme_high_temp,extreme_low_temp,prcp,snow,humidity
2017-09-20,2017,9,20,Autumn,20.4,0,0,0.0,0.0,39.75
2017-09-21,2017,9,21,Autumn,22.3,0,0,1.1,0.0,57.708333333333336
2017-09-22,2017,9,22,Autumn,20.3,0,0,0.0,0.0,41.833333333333336
2017-09-23,2017,9,23,Autumn,20.7,0,0,0.0,0.0,55.208333333333336
2017-09-24,2017,9,24,Autumn,24.2,1,0,0.0,0.0,64.33333333333333
2017-09-25,2017,9,25,Autumn,23.0,0,0,0.2,0.0,71.16666666666667
2017-09-26,2017,9,26,Autumn,16.1,0,0,0.7,0.0,62.916666666666664
2017-09-27,2017,9,27,Autumn,15.1,0,0,0.2,0.0,64.20833333333333
2017-09-28,2017,9,28,Autumn,16.1,0,0,0.0,0.0,28.5
2017-09-29,2017,9,29,Autumn,16.4,0,0,0.0,0.0,39.166666666666664
2017-09-30,2017,9,30,Autumn,19.2,0,0,0.0,0.0,63.916666666666664
2017-10-01,2017,10,1,Autumn,21.6,0,0,0.0,0.0,50.041666666666664
2017-10-02,2017,10,2,Autumn,12.8,0,0,1.9,0.0,52.083333333333336
2017-10-03,2017,10,3,Autumn,13.3,0,0,0.0,0.0,53.458333333333336
2017-10-04,2017,10,4,Autumn,14.7,0,0,0.0,0.0,54.666666666666664
2017-10-05,2017,10,5,Autumn,14.3,0,0,0.0,0.0,58.583333333333336
2017-10-06,2017,10,6,Autumn,16.0,0,0,0.0,0.0,65.16666666666667
2017-10-07,2017,10,7,Autumn,15.5,0,0,3.0,0.0,82.79166666666667
2017-10-12,2017,10,12,Autumn,9.6,0,0,0.4,0.0,62.291666666666664
2017-10-13,2017,10,13,Autumn,12.2,0,0,0.0,0.0,73.91666666666667
2017-10-16,2017,10,16,Autumn,12.2,0,0,0.0,0.0,61.791666666666664
2017-10-20,2017,10,20,Autumn,13.1,0,0,0.0,0.0,87.41666666666667
2017-10-21,2017,10,21,Autumn,14.3,0,0,0.30000000000000004,0.0,73.20833333333333
2017-10-22,2017,10,22,Autumn,9.9,0,0,0.6,0.0,61.833333333333336
2017-10-23,2017,10,23,Autumn,10.8,0,0,0.7000000000000001,0.0,64.08333333333333
2017-10-24,2017,10,24,Autumn,11.4,0,0,0.0,0.0,77.29166666666667
2017-10-25,2017,10,25,Autumn,11.8,0,0,0.0,0.0,85.83333333333333
