common_name,dominant_season_days,dominant_season_years,dominant_season_records,total_observed_days,total_records,dominance_ratio,classification_confidence,primary_season,secondary_season,primary_season_days,secondary_season_days,secondary_to_primary_ratio,is_multi_season,dominant_season,seasonal_category
Whooper Swan,249,12,570,586,1393,0.4249146757679181,Low,Winter,Spring,249,202,0.8112449799196787,True,Winter + Spring,冬候鸟 + 春候鸟
Eurasian Siskin,211,10,429,503,1019,0.4194831013916501,Low,Winter,Autumn,211,164,0.7772511848341233,True,Winter + Autumn,冬候鸟 + 秋候鸟
Brambling,766,12,4933,1838,11031,0.4167573449401523,Low,Winter,Spring,766,635,0.8289817232375979,True,Winter + Spring,冬候鸟 + 春候鸟
Short-eared Owl,88,11,152,213,390,0.4131455399061033,Low,Winter,Autumn,88,68,0.7727272727272727,True,Winter + Autumn,冬候鸟 + 秋候鸟
Common Goldeneye,383,12,992,930,2995,0.4118279569892473,Low,Winter,Spring,383,328,0.856396866840731,True,Winter + Spring,冬候鸟 + 春候鸟
Common Crane,161,12,316,415,871,0.38795180722891565,Low,Winter,Autumn,161,147,0.9130434782608695,True,Winter + Autumn,冬候鸟 + 秋候鸟
Baikal Teal,209,12,447,544,1251,0.38419117647058826,Low,Winter,Autumn,209,187,0.8947368421052632,True,Winter + Autumn,冬候鸟 + 秋候鸟
Tufted Duck,279,11,610,730,2006,0.3821917808219178,Low,Winter,Spring,279,225,0.8064516129032258,True,Winter + Spring,冬候鸟 + 春候鸟
Red-flanked Bluetail,145,9,385,392,1271,0.36989795918367346,Low,Winter,Spring,145,124,0.8551724137931035,True,Winter + Spring,冬候鸟 + 春候鸟
Great Bustard,42,8,57,118,208,0.3559322033898305,Low,Winter,Spring,42,38,0.9047619047619048,True,Winter + Spring,冬候鸟 + 春候鸟
Common Pochard,299,11,769,857,2647,0.34889148191365227,Low,Winter,Spring,299,293,0.979933110367893,True,Winter + Spring,冬候鸟 + 春候鸟
Red-billed Chough,100,12,180,291,544,0.3436426116838488,Low,Winter,Summer,100,94,0.94,True,Winter + Summer,冬候鸟 + 夏候鸟
Domestic goose sp. (Domestic type),27,5,27,82,89,0.32926829268292684,Low,Winter,Spring,27,23,0.8518518518518519,True,Winter + Spring,冬候鸟 + 春候鸟
Chinese Beautiful Rosefinch,161,12,365,502,1133,0.3207171314741036,Low,Winter,Summer,161,143,0.8881987577639752,True,Winter + Summer,冬候鸟 + 夏候鸟
Coal Tit,139,12,328,495,1162,0.2808080808080808,Low,Winter,Spring,139,138,0.9928057553956835,True,Winter + Spring,冬候鸟 + 春候鸟
