year,month,common_name,species_records,total_records,species_proportion,year_month
2019,9,Amur Falcon,46,5367,0.008570896217626234,2019-09-01
2019,10,Amur Falcon,8,3489,0.002292920607623961,2019-10-01
2020,4,Amur Falcon,15,9537,0.0015728216420257944,2020-04-01
2020,5,Amur Falcon,92,11615,0.007920792079207921,2020-05-01
2020,6,Amur Falcon,7,3728,0.0018776824034334764,2020-06-01
2020,7,Amur Falcon,10,2315,0.004319654427645789,2020-07-01
2020,8,Amur Falcon,25,3110,0.008038585209003215,2020-08-01
2020,9,Amur Falcon,41,5298,0.007738769346923367,2020-09-01
2020,10,Amur Falcon,15,4748,0.0031592249368155014,2020-10-01
2021,4,Amur Falcon,5,7777,0.0006429214350006429,2021-04-01
2021,5,Amur Falcon,124,14389,0.008617694071860449,2021-05-01
2021,6,Amur Falcon,10,3972,0.0025176233635448137,2021-06-01
2021,7,Amur Falcon,12,2391,0.005018820577164366,2021-07-01
2021,8,Amur Falcon,17,2998,0.005670446964643095,2021-08-01
2021,9,Amur Falcon,52,5730,0.009075043630017453,2021-09-01
2021,10,Amur Falcon,36,6272,0.005739795918367347,2021-10-01
2022,4,Amur Falcon,4,11814,0.00033858134416793635,2022-04-01
2022,5,Amur Falcon,166,22048,0.007529027576197387,2022-05-01
2022,6,Amur Falcon,46,7881,0.005836822738231189,2022-06-01
2022,7,Amur Falcon,18,3138,0.0057361376673040155,2022-07-01
2022,8,Amur Falcon,48,5652,0.008492569002123142,2022-08-01
2022,9,Amur Falcon,88,8430,0.01043890865954923,2022-09-01
2022,10,Amur Falcon,58,12308,0.004712382190445239,2022-10-01
2022,11,Amur Falcon,4,7010,0.0005706134094151213,2022-11-01
2023,4,Amur Falcon,7,11896,0.0005884330867518494,2023-04-01
2023,5,Amur Falcon,141,18898,0.007461106995449254,2023-05-01
2023,6,Amur Falcon,50,8031,0.006225874735400324,2023-06-01
2023,7,Amur Falcon,30,4096,0.00732421875,2023-07-01
2023,8,Amur Falcon,40,6346,0.006303183107469272,2023-08-01
2023,9,Amur Falcon,76,13086,0.005807733455601406,2023-09-01
2023,10,Amur Falcon,48,18849,0.002546554193856438,2023-10-01
2024,4,Amur Falcon,25,18363,0.0013614333169961336,2024-04-01
2024,5,Amur Falcon,182,23813,0.007642884138915718,2024-05-01
2024,6,Amur Falcon,61,11494,0.005307116756568644,2024-06-01
2024,7,Amur Falcon,23,5937,0.0038740104429846726,2024-07-01
2024,8,Amur Falcon,71,7835,0.009061901723037651,2024-08-01
2024,9,Amur Falcon,94,13465,0.006981062012625325,2024-09-01
2024,10,Amur Falcon,62,14424,0.0042983915696062115,2024-10-01
2025,4,Amur Falcon,59,21104,0.0027956785443517818,2025-04-01
2025,5,Amur Falcon,234,30604,0.0076460593386485426,2025-05-01
2025,6,Amur Falcon,104,14495,0.007174887892376682,2025-06-01
2025,7,Amur Falcon,22,6365,0.0034564021995286726,2025-07-01
2025,8,Amur Falcon,55,8799,0.006250710307989544,2025-08-01
2025,9,Amur Falcon,143,16756,0.00853425638577226,2025-09-01
2025,10,Amur Falcon,115,22069,0.005210929357922878,2025-10-01
2026,4,Amur Falcon,14,24568,0.0005698469553891241,2026-04-01
2015,7,Amur Paradise-Flycatcher,1,291,0.003436426116838488,2015-07-01
2017,6,Amur Paradise-Flycatcher,2,1272,0.0015723270440251573,2017-06-01
2017,7,Amur Paradise-Flycatcher,7,953,0.007345225603357817,2017-07-01
2018,6,Amur Paradise-Flycatcher,6,3311,0.001812141347025068,2018-06-01
2018,9,Amur Paradise-Flycatcher,2,5634,0.0003549875754348598,2018-09-01
2019,7,Amur Paradise-Flycatcher,2,1312,0.001524390243902439,2019-07-01
2020,8,Amur Paradise-Flycatcher,2,3110,0.0006430868167202572,2020-08-01
2021,8,Amur Paradise-Flycatcher,4,2998,0.00133422281521014,2021-08-01
2022,5,Amur Paradise-Flycatcher,14,22048,0.0006349782293178519,2022-05-01
2022,6,Amur Paradise-Flycatcher,1,7881,0.0001268874508311128,2022-06-01
2022,9,Amur Paradise-Flycatcher,4,8430,0.00047449584816132857,2022-09-01
2023,5,Amur Paradise-Flycatcher,1,18898,5.291565244999471e-05,2023-05-01
2023,7,Amur Paradise-Flycatcher,1,4096,0.000244140625,2023-07-01
2024,5,Amur Paradise-Flycatcher,5,23813,0.00020996934447570654,2024-05-01
2024,7,Amur Paradise-Flycatcher,9,5937,0.0015159171298635675,2024-07-01
2025,5,Amur Paradise-Flycatcher,1,30604,3.267546725918181e-05,2025-05-01
2025,6,Amur Paradise-Flycatcher,18,14495,0.0012418075198344257,2025-06-01
2025,7,Amur Paradise-Flycatcher,2,6365,0.00031421838177533385,2025-07-01
2015,5,Amur Stonechat,12,1669,0.007189934092270821,2015-05-01
2015,8,Amur Stonechat,5,599,0.008347245409015025,2015-08-01
2015,9,Amur Stonechat,6,570,0.010526315789473684,2015-09-01
2015,10,Amur Stonechat,1,870,0.0011494252873563218,2015-10-01
2016,4,Amur Stonechat,3,864,0.003472222222222222,2016-04-01
2016,5,Amur Stonechat,6,840,0.007142857142857143,2016-05-01
2016,8,Amur Stonechat,1,290,0.0034482758620689655,2016-08-01
2016,9,Amur Stonechat,9,731,0.012311901504787962,2016-09-01
2016,10,Amur Stonechat,3,2033,0.0014756517461878996,2016-10-01
2017,4,Amur Stonechat,3,2218,0.001352569882777277,2017-04-01
2017,5,Amur Stonechat,20,3200,0.00625,2017-05-01
2017,8,Amur Stonechat,3,487,0.006160164271047228,2017-08-01
2017,9,Amur Stonechat,17,2072,0.008204633204633204,2017-09-01
2017,10,Amur Stonechat,8,1840,0.004347826086956522,2017-10-01
2018,4,Amur Stonechat,28,5773,0.004850164559154686,2018-04-01
2018,5,Amur Stonechat,34,6810,0.00499265785609398,2018-05-01
2018,8,Amur Stonechat,9,1383,0.006507592190889371,2018-08-01
2018,9,Amur Stonechat,70,5634,0.012424565140220093,2018-09-01
2018,10,Amur Stonechat,9,5202,0.0017301038062283738,2018-10-01
2019,4,Amur Stonechat,20,5673,0.0035254715318173806,2019-04-01
2019,5,Amur Stonechat,74,8255,0.008964264082374319,2019-05-01
2019,6,Amur Stonechat,4,3659,0.0010931948619841486,2019-06-01
2019,8,Amur Stonechat,25,3693,0.006769564040075819,2019-08-01
2019,9,Amur Stonechat,69,5367,0.012856344326439352,2019-09-01
2019,10,Amur Stonechat,2,3489,0.0005732301519059903,2019-10-01
2020,4,Amur Stonechat,26,9537,0.002726224179511377,2020-04-01
2020,5,Amur Stonechat,98,11615,0.008437365475678003,2020-05-01
2020,8,Amur Stonechat,6,3110,0.0019292604501607716,2020-08-01
2020,9,Amur Stonechat,73,5298,0.013778784446961118,2020-09-01
2020,10,Amur Stonechat,5,4748,0.0010530749789385003,2020-10-01
2021,4,Amur Stonechat,9,7777,0.0011572585830011573,2021-04-01
2021,5,Amur Stonechat,101,14389,0.007019250816596011,2021-05-01
2021,8,Amur Stonechat,8,2998,0.00266844563042028,2021-08-01
2021,9,Amur Stonechat,109,5730,0.019022687609075044,2021-09-01
2021,10,Amur Stonechat,19,6272,0.0030293367346938774,2021-10-01
2021,11,Amur Stonechat,1,5211,0.00019190174630589137,2021-11-01
2022,2,Amur Stonechat,1,6956,0.0001437607820586544,2022-02-01
2022,4,Amur Stonechat,54,11814,0.0045708481462671405,2022-04-01
2022,5,Amur Stonechat,159,22048,0.007211538461538462,2022-05-01
2022,6,Amur Stonechat,4,7881,0.0005075498033244512,2022-06-01
2022,8,Amur Stonechat,56,5652,0.009907997169143666,2022-08-01
2022,9,Amur Stonechat,100,8430,0.011862396204033215,2022-09-01
2022,10,Amur Stonechat,39,12308,0.003168670783230419,2022-10-01
2022,11,Amur Stonechat,1,7010,0.0001426533523537803,2022-11-01
2023,4,Amur Stonechat,28,11896,0.0023537323470073975,2023-04-01
2023,5,Amur Stonechat,104,18898,0.005503227854799449,2023-05-01
2023,6,Amur Stonechat,5,8031,0.0006225874735400323,2023-06-01
2023,7,Amur Stonechat,2,4096,0.00048828125,2023-07-01
2023,8,Amur Stonechat,40,6346,0.006303183107469272,2023-08-01
2023,9,Amur Stonechat,140,13086,0.010698456365581538,2023-09-01
2023,10,Amur Stonechat,38,18849,0.002016022070136347,2023-10-01
2024,4,Amur Stonechat,99,18363,0.005391275935304689,2024-04-01
2024,5,Amur Stonechat,114,23813,0.0047873010540461095,2024-05-01
2024,6,Amur Stonechat,2,11494,0.00017400382808421786,2024-06-01
2024,8,Amur Stonechat,38,7835,0.004850031908104659,2024-08-01
2024,9,Amur Stonechat,189,13465,0.014036390642406239,2024-09-01
2024,10,Amur Stonechat,69,14424,0.00478369384359401,2024-10-01
2025,4,Amur Stonechat,83,21104,0.0039329037149355576,2025-04-01
2025,5,Amur Stonechat,134,30604,0.004378512612730362,2025-05-01
2025,6,Amur Stonechat,3,14495,0.00020696791997240429,2025-06-01
