common_name,season,month,month_name,n_years,intercept,temperature_beta,humidity_beta,prcp_beta,temperature_standardized_beta,humidity_standardized_beta,prcp_standardized_beta,r_squared,adjusted_r_squared,rmse
Falcated Duck,Spring,3,March,9,0.01065749455470428,-0.0006214515256203457,5.244453404030935e-05,0.00014713081909549264,-0.20079742984378227,0.15991086101787802,0.35578841211382706,0.2621782267303422,-0.18051483723145245,0.0021475740469527526
Falcated Duck,Spring,4,April,9,0.006614753365980123,-0.00030591323815357834,9.706265285832792e-05,-2.0712961161684617e-05,-0.260569573208505,0.6283430127228492,-0.33474571253281693,0.21966243472314972,-0.24854010444296049,0.0008228162746846721
Falcated Duck,Spring,5,May,8,-0.0010066408631284908,1.5649778763992358e-05,2.6960106534411202e-05,1.0928105694115382e-05,0.029698792319375847,0.3742727476812863,0.5450498489662555,0.671316516395214,0.42480390369162446,0.0002365891380304327
Ferruginous Duck,Spring,3,March,9,0.008375402217567714,-0.0004359273478368002,-5.005353396383129e-05,8.258535225400844e-05,-0.2866243602916622,-0.3105707624693291,0.40638649213229466,0.12394741452932012,-0.4016841367530879,0.001149977674609442
Ferruginous Duck,Spring,4,April,9,-0.0024424167863753435,0.0002678892487226126,-2.0684810689255113e-05,6.631574961792386e-05,0.17130227529570607,-0.10052604587016649,0.8045850009413748,0.6134910625269042,0.3815857000430467,0.000771363295769385
Ferruginous Duck,Spring,5,May,9,-0.0060932639613893985,0.00023424984183802855,5.8671014855734855e-05,-9.875603013690894e-06,0.3012010300996887,0.4622757577279809,-0.2683747763277198,0.15315421110482663,-0.3549532622322773,0.0006778980819519241
Forest Wagtail,Spring,5,May,9,0.0057507834041634395,-0.00017772936758661805,-1.812424817416471e-05,1.6141014497285405e-05,-0.32385007907141605,-0.20236955859543634,0.6216079567811986,0.4088279804800783,0.05412476876812522,0.0003996791644912399
Garganey,Spring,3,March,8,0.01932695132843056,-0.0012261765505684698,-0.00016709298128485711,8.500006870728421e-05,-0.868138055934252,-1.1096663136079956,0.4037865953336344,0.6326565991729349,0.3571490485526361,0.0007334469372817751
Garganey,Spring,4,April,9,0.009837949978709355,-0.00029109578982087174,5.169917531762962e-07,1.5752083759730777e-05,-0.113694444271384,0.0015346386686008592,0.11673167930834334,0.021665982573346065,-0.5653344278826462,0.002009219131200943
Garganey,Spring,5,May,9,0.011450381633040149,-0.00045212374073814706,-9.032332279795604e-07,-2.1205623275764338e-06,-0.5604413826688549,-0.006860774763630812,-0.05555521733597692,0.3024555993261807,-0.11607104107811095,0.0006381935788204799
